,Eigen,Degree,Between,Between Sub,RWR,RWR Sub
SLAMF1,0.009939210652358364,0.005301289980561937,1.1485471792867021e-05,31.67994593652777,0.00014867307188204908,0.00013102873523451657
NCR1,0.00830663961207381,0.004417741650468281,2.5729726130041468e-05,67.17999682108496,0.00013252882583308727,0.0001573268877757815
LILRB1,0.004453109878614476,0.002297225658243506,1.1671778380874554e-05,30.028238246781196,8.546928661474866e-05,0.00011603323033692067
LILRB2,0.014687678301201755,0.01590386994168581,0.0007446151741369274,1416.2215133602422,0.0004514303160661581,0.0005003272432816904
DOK2,0.0059848608082846266,0.0033574836543558933,1.1338385417608655e-05,61.911166249963415,0.0001110188653115648,9.940754476716872e-05
KIR3DL2,0.0022077882058316465,0.0019438063262060435,3.7726027263571274e-05,9.542223184434627,8.497191038189198e-05,0.00010658988276361891
CD244,0.005335206493650862,0.004594451316487012,0.00013387990895046272,702.7787232720739,0.00016030826271302184,0.00020773008578173273
KLRF1,0.0003902009260737226,0.0012369676621311187,2.1732102602861264e-05,28.50489091342187,7.391655297998453e-05,0.00010875600370601347
SPP1,0.07410726773154358,0.05849089945220004,0.01056149289118593,27741.85862444249,0.0017998820659762124,0.0016607300387167427
CFL1,0.042262963491104685,0.052659480473581904,0.014674134886859567,41961.77795229806,0.0018278950265391226,0.0019250121783447528
PGK1,0.03384496170576566,0.05195264180950698,0.012164519048221906,32815.47936957191,0.0018225501046220307,0.0016248828502942866
KDM1A,0.020081676980285665,0.01855451493196678,0.0011355915931989503,4494.276119246476,0.0005644868514448392,0.00044451602836410837
IFITM3,0.008382889900221705,0.01431348294751723,0.0009261754381518284,2004.1600933712639,0.0004555061401819898,0.0004793165372267593
MX2,0.004551772365989087,0.003887612652412087,7.52814831240779e-05,85.22189072389789,0.00013392937278667368,0.00010691808458496717
MX1,0.013958567038157189,0.007951934970842905,0.00017279552795969197,459.0104998918857,0.00022952860260233996,0.00025816604692495193
NAMPT,0.021561130556490817,0.013783353949461036,0.0008390152958597041,844.8737022429383,0.000415990221232679,0.00040330442809797797
STAT2,0.018402230788147112,0.007068386640749249,5.0288167472213056e-05,236.08830217030336,0.00019064210054206868,0.0002180388677108076
OAS1,0.006228391555106008,0.0033574836543558933,1.2524097898284708e-05,35.15840490167717,0.00010986496325732288,8.504038797484786e-05
IFNAR1,0.01734810613197186,0.00724509630676798,5.418480371206997e-05,148.16529359317644,0.00019944992523217476,0.00021899800141527963
IFNB1,0.024639969850436726,0.011662837957236261,0.0003935014533166615,1167.982577819656,0.0003143690073573982,0.0002697270922020287
IRF1,0.027800177869057467,0.014666902279554693,0.00047443331205568854,1659.7052862626183,0.0003926031010333841,0.0003552622510365306
RSAD2,0.004689586447173898,0.0033574836543558933,0.00012988106532168677,240.74888173094092,0.000126601287552653,0.00014795320959854413
CXCL10,0.053430983917006306,0.03428167520763386,0.0016407108929509628,6789.421725300673,0.0008511152721716656,0.000864010968046375
STAT1,0.06518158159942548,0.03640219119985864,0.001823362185546471,5920.714406463519,0.0009071060302913657,0.0009224866396322672
IRF3,0.025451900178789,0.012369676621311186,0.00020186857821961475,610.4538684407668,0.00032490534774875113,0.00029326434493959577
