,Eigen,Degree,Between,Between Sub,RWR,RWR Sub,eigen_pvalue,degree_pvalue,between_pvalue,betweensub_pvalue,rwr_pvalue,rwrsub_pvalue
GRK1,1.8729400918774497e-05,0.0005301289980561,2.473097973274004e-06,3.8581405349558153,5.433186144941407e-05,8.44498313640982e-05,0.9989994699646643,0.8802120141342756,0.7428757950530035,0.7516775618374558,0.7124160777385159,0.5880787985865724
CNGA3,1.7386482661316906e-05,0.0003534193320374,2.4255922832086945e-07,0.3658955725762439,4.26869411260052e-05,7.03371922911454e-05,0.999139222614841,1.0,0.9123556537102474,0.8957985865724382,0.7439376325088339,0.6614134275618374
ADCY10,0.0023379613415424,0.001943806326206,0.0001635667545342,386.9399494839011,9.608749840223248e-05,7.291730066263638e-05,0.4858471731448763,0.5279151943462898,0.2377469964664311,0.23433144876325088,0.5269432862190813,0.6579945229681978
ADCY3,0.0039235686408415,0.003887612652412,8.99712733952298e-05,288.465665985884,0.0001243970620153,0.0001587873142016,0.3595600706713781,0.3491166077738516,0.31439982332155475,0.26904982332155475,0.36992067137809187,0.3083121908127208
GUCY1A2,0.0004782061347296,0.0007068386640749,2.763131944834122e-05,122.39373025827652,6.019897522861889e-05,3.894386516597365e-05,0.845783038869258,0.7985865724381626,0.4717713780918728,0.376810777385159,0.7019554770318022,0.6923957597173145
ADCY8,0.003864770735523,0.0037109029863933,7.457553298334872e-05,250.68559161661528,0.0001187019433424,0.0001522931045818,0.36299876325088337,0.3597173144876325,0.33929028268551237,0.2862137809187279,0.4032273851590106,0.32706943462897525
ADCY9,0.0038817987011388,0.0040643223184308,0.0001109386835341,380.1524228567599,0.0001336332301662,0.0001671105185175,0.3619992932862191,0.33586572438162543,0.2869731448763251,0.23634911660777386,0.33277067137809185,0.2845689045936396
GUCY1A3,0.000479018624002,0.0008835483300936,6.292460048118016e-05,41.73846527499936,6.775184481391889e-05,3.1292074581016464e-05,0.8455091872791519,0.7393992932862191,0.36184805653710245,0.5121212014134275,0.6912704946996466,0.7034895759717315
ADCY1,0.0038790601688415,0.003887612652412,0.0001043381155383,271.01789680853113,0.0001276223310484,0.0001595598793638,0.36215017667844523,0.3491166077738516,0.294991519434629,0.27660989399293284,0.3548765017667844,0.3056040636042403
ENTPD3,0.0009754167511463,0.0014136773281498,2.0935287561201795e-05,76.01987304580848,7.252954520562224e-05,4.7004512663111466e-05,0.7094643109540636,0.6196113074204948,0.5079674911660778,0.43762862190812724,0.6653263250883392,0.6831242049469964
ADCY6,0.003864770735523,0.0037109029863933,7.457553298334872e-05,250.68559161661528,0.0001187019433424,0.0001522931045818,0.36299876325088337,0.3597173144876325,0.33929028268551237,0.2862137809187279,0.4032273851590106,0.32706943462897525
ADCY4,0.003871657320673,0.003887612652412,9.136934075874177e-05,253.22557735805688,0.0001255139478444,0.000156760395537,0.36259734982332154,0.3491166077738516,0.31235971731448764,0.28494010600706715,0.36445565371024735,0.31537155477031803
NPR2,0.000131673836191,0.0003534193320374,4.540225729095833e-06,23.517249042052278,4.105174564608336e-05,6.50049151901008e-05,0.9721574204946997,1.0,0.6855058303886926,0.5790598939929329,0.7503727915194346,0.66686925795053
ADCY2,0.003864770735523,0.0037109029863933,7.457553298334872e-05,250.68559161661528,0.0001187019433424,0.0001522931045818,0.36299876325088337,0.3597173144876325,0.33929028268551237,0.2862137809187279,0.4032273851590106,0.32706943462897525
NPR1,0.0005172154371121,0.0007068386640749,1.4595918692707318e-05,67.4223592498162,5.163798990364824e-05,7.645157946813369e-05,0.8328086572438163,0.7985865724381626,0.5537466431095406,0.45279787985865727,0.7181321554770318,0.6487155477031802
ENTPD8,0.0014666775157761,0.0014136773281498,1.985383751704152e-05,66.63995033846378,7.041009201907674e-05,4.447596599918636e-05,0.6069201413427562,0.6196113074204948,0.5147729681978799,0.4542849823321555,0.6826443462897527,0.6858035335689046
ADCY7,0.003864770735523,0.0037109029863933,7.457553298334872e-05,250.68559161661528,0.0001187019433424,0.0001522931045818,0.36299876325088337,0.3597173144876325,0.33929028268551237,0.2862137809187279,0.4032273851590106,0.32706943462897525
ADCY5,0.003864770735523,0.0037109029863933,7.457553298334872e-05,250.68559161661528,0.0001187019433424,0.0001522931045818,0.36299876325088337,0.3597173144876325,0.33929028268551237,0.2862137809187279,0.4032273851590106,0.32706943462897525
HJURP,0.0001695150951532,0.0003534193320374,1.7272487119033695e-05,97.92187039775416,4.459884504970371e-05,1.8381977460894552e-05,0.9593924028268551,1.0,0.5325780918727915,0.4054093639575972,0.7372775618374559,0.7314802120141343
NELFB,0.000137748298021,0.0003534193320374,2.504016945853051e-06,4.498758243479537,4.06603283271428e-05,8.148827457945344e-06,0.9701925795053004,1.0,0.7417498233215548,0.7391636042402827,0.7520409893992933,0.7747333922261485
PEX2,6.753758435953961e-05,0.0003534193320374,1.8033508553324269e-06,4.909235744391134,4.024802860891117e-05,6.59045407515904e-05,0.989830035335689,1.0,0.7703667844522968,0.731917667844523,0.7538814487632509,0.6660227915194347
UXT,0.0001669555159972,0.0003534193320374,2.8505405538885614e-06,9.932945318795683,3.8932488160741416e-05,1.0885763124243567e-05,0.9602973498233216,1.0,0.7299505300353357,0.6686272084805653,0.7603439929328621,0.7594328621908127
ACSBG1,0.0002020324678315,0.0005301289980561,1.2235884993044551e-06,1.1794628105196332,4.483400924250129e-05,6.73027149993982e-05,0.9475563604240282,0.8802120141342756,0.8020547703180212,0.8364533568904594,0.7365318021201414,0.6646390459363958
BEST1,2.5928420406800528e-05,0.0005301289980561,2.4272879330246208e-05,26.777783886017552,5.133371840943477e-05,8.174084120814336e-05,0.9980890459363958,0.8802120141342756,0.48868833922261484,0.5644212014134276,0.7188160777385159,0.6088505300353357
ACTL6B,0.0013062957575541,0.0008835483300936,6.897291059027025e-05,280.49192271123525,5.771978338276151e-05,3.154731691358238e-05,0.6369757950530035,0.7393992932862191,0.3497049469964664,0.27246872791519433,0.7060773851590106,0.7030655477031802
TSPYL4,0.0001808063588945,0.0003534193320374,2.16972968150994e-05,112.40108225055216,4.143625301522369e-05,1.5051759339274702e-05,0.9553296819787986,1.0,0.5032913427561837,0.38776872791519434,0.7487879858657244,0.7421441696113075
CCK,6.610303787972221e-05,0.0003534193320374,9.464872240040316e-06,1.4016643980572523,4.206321854020679e-05,6.786283068269675e-05,0.9901867491166078,1.0,0.6059791519434629,0.8254717314487633,0.7462918727915194,0.6640763250883392
CEP290,0.0002456856917619,0.0007068386640749,2.669334145240932e-05,32.78464929616674,5.975216767113098e-05,8.799493024715037e-05,0.9318466431095407,0.7985865724381626,0.4763067137809187,0.5408855123674912,0.7026643109540636,0.567912367491166
CPSF7,0.0001224941973985,0.0003534193320374,1.5143611057915172e-05,1.270480927673665,4.4466890900880674e-05,6.624737354863594e-05,0.9751056537102474,1.0,0.5491625441696113,0.8318273851590106,0.737696996466431,0.6656881625441696
DAO,2.263619888852265e-05,0.0003534193320374,6.372176709603294e-06,0.2125113051845805,5.151227065007213e-05,7.048772711605993e-05,0.9985386925795053,1.0,0.6502994699646643,0.9146162544169611,0.7184081272084806,0.6612386925795053
L3HYPDH,1.2107504354286316e-05,0.0008835483300936,1.933028983079777e-05,21.968482842524672,0.0001044983318335,6.587817508770797e-05,0.999577738515901,0.7393992932862191,0.5181802120141342,0.586654593639576,0.5002743816254417,0.6660457597173145
DDO,2.263619888852265e-05,0.0003534193320374,6.372176709603294e-06,0.2125113051845805,5.151227065007213e-05,1.9794925493890272e-05,0.9985386925795053,1.0,0.6502994699646643,0.9146162544169611,0.7184081272084806,0.7275655477031802
PECR,2.2925113073317773e-05,0.0003534193320374,4.78354348158846e-06,21.40922828285694,4.821626302893143e-05,6.752726164274297e-05,0.9985044169611308,1.0,0.6802323321554771,0.5894572438162544,0.726432332155477,0.6644148409893993
PBX1,0.0008925329453593,0.0010602579961123,6.609569897489715e-05,322.3374165444265,6.830753455896375e-05,3.409668478360093e-05,0.7293425795053003,0.6911660777385159,0.35534893992932864,0.25571201413427563,0.6905383392226149,0.6990814487632508
HOXB2,0.0010799484383466,0.0008835483300936,7.48265564930067e-05,332.42410634877524,6.269248596165955e-05,2.5372128739123247e-05,0.6856826855123674,0.7393992932862191,0.33883904593639574,0.2520666077738516,0.6981609540636042,0.7144478798586572
HOXA3,0.0002905152216067,0.0005301289980561,1.785633909816549e-05,59.471251888637575,5.3326750846796505e-05,1.6753933981302434e-05,0.9153190812720848,0.8802120141342756,0.5283143109540636,0.4685625441696113,0.7144772084805654,0.7364233215547703
PBX4,5.226031502864081e-05,0.0003534193320374,5.939730655544954e-06,24.98470526850297,4.706682072762951e-05,1.3742224169772803e-05,0.9932927561837456,1.0,0.6578507067137809,0.5722128975265017,0.7295650176678445,0.7470109540636043
KAT2B,0.0004013419719537,0.0005301289980561,8.111288500027171e-06,19.897603415926405,4.565125967041528e-05,1.3763957475978663e-05,0.8736996466431095,0.8802120141342756,0.6236909893992932,0.5975567137809187,0.7340229681978798,0.7469295053003534
MAFB,0.0005502392909607,0.0007068386640749,1.2011347960888148e-05,43.50212237082097,4.987103777417696e-05,1.8598906904048743e-05,0.8224782685512367,0.7985865724381626,0.5776786219081272,0.5070798586572438,0.7222789752650177,0.7308793286219081
CPA1,0.0001646789853052,0.0003534193320374,4.1156043708012827e-07,1.4259649641985537,4.0010800907252815e-05,1.1294413459073052e-05,0.9610998233215547,1.0,0.8806706713780919,0.8243468197879859,0.7549655477031803,0.7574789752650176
CELA1,0.0001646789853052,0.0003534193320374,4.1156043708012827e-07,1.4259649641985537,4.0010800907252815e-05,1.1294413459073052e-05,0.9610998233215547,1.0,0.8806706713780919,0.8243468197879859,0.7549655477031803,0.7574789752650176
CELA2A,0.0001646789853052,0.0003534193320374,4.1156043708012827e-07,1.4259649641985537,4.0010800907252815e-05,1.1294413459073052e-05,0.9610998233215547,1.0,0.8806706713780919,0.8243468197879859,0.7549655477031803,0.7574789752650176
CELA2B,0.0001646789853052,0.0003534193320374,4.1156043708012827e-07,1.4259649641985537,4.0010800907252815e-05,1.1294413459073052e-05,0.9610998233215547,1.0,0.8806706713780919,0.8243468197879859,0.7549655477031803,0.7574789752650176
FGF10,0.0001216706487823,0.0003534193320374,4.806542950887145e-07,1.2508876398169606,3.969237780782734e-05,6.345318300610851e-05,0.9753609540636042,1.0,0.8704876325088339,0.8327977031802121,0.7564703180212015,0.6683577738515901
FBXL19,0.0001728081797424,0.0003534193320374,4.100897029350935e-06,14.741865826105588,4.262182407448549e-05,8.933783629171295e-06,0.9582298586572439,1.0,0.6956088339222615,0.6293821554770318,0.7441786219081272,0.7698932862190813
SPOP,0.0001728081797424,0.0003534193320374,4.100897029350935e-06,14.741865826105588,4.262182407448549e-05,8.933783629171295e-06,0.9582298586572439,1.0,0.6956088339222615,0.6293821554770318,0.7441786219081272,0.7698932862190813
RRM1,0.000870232266096,0.0007068386640749,5.110043895467798e-05,13.859912472993845,5.475258465503242e-05,2.146129092459612e-05,0.7348759717314488,0.7985865724381626,0.3897247349823322,0.6356962897526501,0.7115740282685512,0.7232427561837456
CDYL,0.0001684903521491,0.0003534193320374,9.23194470294286e-06,1.5755583665729298,4.527328969278709e-05,1.2305810900561071e-05,0.9597579505300353,1.0,0.6088287985865725,0.8177667844522968,0.7351886925795053,0.752904593639576
RNF126,0.0001255891841884,0.0003534193320374,5.909272795115943e-06,3.6808618682443393,4.293815320952568e-05,1.2467819143250967e-05,0.9741349823321555,1.0,0.6583943462897527,0.7554669611307421,0.7430164310954064,0.7521946996466431
C2CD4C,0.0001255891841884,0.0003534193320374,5.909272795115943e-06,3.6808618682443393,4.293815320952568e-05,1.2467819143250967e-05,0.9741349823321555,1.0,0.6583943462897527,0.7554669611307421,0.7430164310954064,0.7521946996466431
R3HDM4,0.0001255891841884,0.0003534193320374,5.909272795115943e-06,3.6808618682443393,4.293815320952568e-05,1.2467819143250967e-05,0.9741349823321555,1.0,0.6583943462897527,0.7554669611307421,0.7430164310954064,0.7521946996466431
KLK2,0.0004936310871165,0.0003534193320374,1.7551442206008922e-06,6.292924082166707,3.7555379463552494e-05,8.390746809193958e-06,0.8406053003533569,1.0,0.7726674911660777,0.7105416961130742,0.7678551236749117,0.7731959363957597
TAF1,0.0014417754419628,0.0012369676621311,3.1259225338953355e-05,128.1622886951091,6.44988049423827e-05,2.9808353007610895e-05,0.6113581272084806,0.653356890459364,0.4555160777385159,0.37094628975265015,0.6955971731448763,0.7059814487632509
RPA1,0.0005422999959062,0.0005301289980561,5.648301196883716e-06,20.538002392528423,4.197359020502416e-05,1.233926224215082e-05,0.8248796819787986,0.8802120141342756,0.6631339222614842,0.5940747349823322,0.7466374558303887,0.7527544169611308
SLC29A2,0.0002312195584798,0.0003534193320374,7.026879957623635e-06,11.447753030307917,4.456940287673128e-05,7.398143373257008e-05,0.9368579505300353,1.0,0.6396717314487632,0.6548226148409894,0.737373851590106,0.65613074204947
SLC29A3,0.0002358506775404,0.0007068386640749,1.857087932245598e-05,55.83593154050968,6.08661067624196e-05,8.886153414302135e-05,0.9352095406360424,0.7985865724381626,0.5233106007067138,0.47640583038869255,0.7009079505300353,0.5641056537102473
SLC29A1,0.0002312195584798,0.0003534193320374,7.026879957623635e-06,11.447753030307917,4.456940287673128e-05,7.398143373257008e-05,0.9368579505300353,1.0,0.6396717314487632,0.6548226148409894,0.737373851590106,0.65613074204947
SETD1A,0.0007458978680695,0.0003534193320374,1.238087003245694e-06,3.209746745539052,3.754211398919403e-05,8.502486377497008e-06,0.7669086572438163,1.0,0.8011189045936395,0.7662227915194346,0.7679190812720849,0.772513074204947
RUNX1,0.0014404496647575,0.0005301289980561,4.500853222655227e-06,17.554197689486152,4.232164924899284e-05,1.3496575558765244e-05,0.6116042402826856,0.8802120141342756,0.6863662544169611,0.6110994699646644,0.7453075971731449,0.7479787985865725
DPY30,0.0007458978680695,0.0003534193320374,1.238087003245694e-06,3.209746745539052,3.754211398919403e-05,8.502486377497008e-06,0.7669086572438163,1.0,0.8011189045936395,0.7662227915194346,0.7679190812720849,0.772513074204947
CBFB,0.0007458978680695,0.0003534193320374,1.238087003245694e-06,3.209746745539052,3.754211398919403e-05,5.919528799966666e-05,0.7669086572438163,1.0,0.8011189045936395,0.7662227915194346,0.7679190812720849,0.6721383392226148
ASH2L,0.0008678575337032,0.0005301289980561,6.773691559290487e-06,18.319601992812444,4.380973108757984e-05,1.3086050546701447e-05,0.7354706713780919,0.8802120141342756,0.6436538869257951,0.60653074204947,0.7398787985865725,0.7496189045936396
SETD1B,0.0007458978680695,0.0003534193320374,1.238087003245694e-06,3.209746745539052,3.754211398919403e-05,8.502486377497008e-06,0.7669086572438163,1.0,0.8011189045936395,0.7662227915194346,0.7679190812720849,0.772513074204947
PRMT1,0.0007458978680695,0.0003534193320374,1.238087003245694e-06,3.209746745539052,3.754211398919403e-05,8.502486377497008e-06,0.7669086572438163,1.0,0.8011189045936395,0.7662227915194346,0.7679190812720849,0.772513074204947
MYB,0.0016151827313142,0.0010602579961123,1.9387945510628524e-05,67.76337170096072,5.6599304895569104e-05,2.592703141847837e-05,0.5817996466431096,0.6911660777385159,0.5177881625441696,0.45216696113074206,0.7081125441696113,0.7133125441696113
TCF7L2,0.0021151520513318,0.0014136773281498,7.084191812339177e-05,271.0179303056012,7.553760811497169e-05,4.471803040717147e-05,0.5116471731448763,0.6196113074204948,0.34612173144876324,0.27660971731448764,0.6339332155477032,0.6855388692579505
KDM6A,0.0011682285814986,0.0017670966601873,3.1416987610026466e-05,132.05179832897946,8.130089546613352e-05,5.053210478333775e-05,0.6657553003533568,0.5553003533568904,0.45483727915194344,0.3671196113074205,0.5881291519434629,0.679680035335689
DPM1,0.0004321120255116,0.0003534193320374,2.193781994993564e-06,5.300785777914969,3.8183261049084086e-05,5.9626409734102056e-05,0.8619924028268551,1.0,0.7535395759717315,0.7254268551236749,0.7649514134275618,0.6717865724381625
FPGS,0.0005249298128719,0.0007068386640749,2.4457275225058787e-05,66.53962793855534,5.600571320878337e-05,3.161871318933007e-05,0.8302973498233216,0.7985865724381626,0.48770636042402826,0.45446819787985865,0.7091948763250884,0.7029496466431095
HNRNPA3,0.0004369238722351,0.0005301289980561,4.058893608963928e-06,17.12710761098139,4.328686558705605e-05,1.4925974370411295e-05,0.8602286219081272,0.8802120141342756,0.6966100706713781,0.6137017667844523,0.7416913427561838,0.7426005300353357
LSM4,0.0003992989728687,0.0005301289980561,8.402697369789858e-06,12.904432696470556,4.565671771893627e-05,6.589472669429459e-05,0.8744800353356891,0.8802120141342756,0.6196814487632509,0.6429040636042402,0.7340054770318021,0.66603074204947
